codigo_ibge,anomes_s,qtd_familias_beneficiarias_bolsa_familia_s,valor_repassado_bolsa_familia_s,pbf_vlr_medio_benef_f
110001,202406,1705,1176837.0,690.63
110002,202406,7494,5117672.0,683.82
110003,202406,323,214990.0,665.6
110004,202406,6105,4127413.0,676.18
110005,202406,1203,862839.0,718.43
110006,202406,492,340501.0,692.08
110007,202406,330,213355.0,646.53
110008,202406,2123,1530740.0,721.71
110009,202406,1774,1173571.0,662.29
110010,202406,5038,3904677.0,776.28
110011,202406,3560,2361603.0,664.49
110012,202406,7676,5264932.0,686.34
110013,202406,2781,1898136.0,682.54
110014,202406,1599,1028141.0,642.99
110015,202406,2475,1675150.0,677.92
110018,202406,1645,1100733.0,669.55
110020,202406,40892,28563667.0,698.98
110025,202406,2246,1488779.0,662.86
110026,202406,228,160052.0,701.98
110028,202406,2110,1409088.0,668.13
110029,202406,610,412598.0,676.39
110030,202406,5037,3525296.0,700.99
110032,202406,1243,836516.0,673.52
110033,202406,2832,2117136.0,748.37
110034,202406,1484,1022102.0,688.75
110037,202406,527,324284.0,615.34
110040,202406,1296,887516.0,684.81
110045,202406,2076,1447475.0,697.58
110050,202406,514,340084.0,661.64
110060,202406,319,215900.0,676.8
110070,202406,644,434829.0,675.2
110080,202406,3288,2295461.0,701.33
110090,202406,252,173667.0,689.15
110092,202406,823,602259.0,731.78
110094,202406,1383,939836.0,679.56
110100,202406,988,665957.0,674.73
110110,202406,786,538859.0,686.44
110120,202406,644,436907.0,679.48
110130,202406,789,539691.0,684.02
110140,202406,1460,1005259.0,689.01
110143,202406,736,518477.0,704.45
110145,202406,400,277027.0,692.57
110146,202406,269,191554.0,712.1
110147,202406,315,210350.0,667.78
110148,202406,203,133368.0,656.99
110149,202406,1429,991910.0,696.08
110150,202406,858,597570.0,696.47
110155,202406,386,257203.0,666.33
110160,202406,600,407035.0,678.39
110170,202406,1030,699532.0,679.16
110175,202406,1085,750296.0,691.52
110180,202406,526,357201.0,679.09
120001,202406,2422,1736000.0,716.76
120005,202406,1751,1447831.0,826.86
120010,202406,5104,3650181.0,715.16
120013,202406,1922,1429247.0,743.62
120017,202406,2015,1441710.0,715.84
120020,202406,14109,10552842.0,748.06
120025,202406,2854,2020798.0,708.06
120030,202406,5930,4754194.0,801.72
120032,202406,1780,1600913.0,899.39
120033,202406,4339,3220967.0,742.67
120034,202406,2324,1814353.0,782.39
120035,202406,3896,3091948.0,793.62
120038,202406,2595,1828854.0,705.03
120039,202406,1987,1694478.0,852.78
120040,202406,44279,30549092.0,690.3
120042,202406,3191,2433083.0,762.72
120043,202406,1240,1118246.0,902.54
120045,202406,3604,2564384.0,711.74
120050,202406,9080,6675781.0,735.22
120060,202406,8700,7062892.0,811.83
120070,202406,3001,2170108.0,723.13
120080,202406,4205,2985438.0,709.97
130002,202406,3525,2833062.0,803.93
130006,202406,2382,1945902.0,817.26
130008,202406,2216,1775324.0,801.14
130010,202406,3571,2611721.0,731.98
130014,202406,2415,1718149.0,712.04
130020,202406,2497,2062734.0,826.08
130030,202406,15482,10986736.0,709.74
130040,202406,3418,2678225.0,783.56
130050,202406,6423,5246468.0,817.33
130060,202406,6898,5922301.0,858.55
130063,202406,5363,4374845.0,815.75
130068,202406,3394,2614218.0,770.47
130070,202406,5876,4293438.0,730.67
130080,202406,7046,5499762.0,780.77
130083,202406,2666,2014308.0,756.41
130090,202406,3466,2518404.0,726.81
130100,202406,6499,4902464.0,754.46
130110,202406,5928,4326648.0,730.24
130115,202406,4454,3273287.0,735.9
130120,202406,14655,11200276.0,764.26
130130,202406,4376,3362435.0,768.38
130140,202406,6702,5305539.0,791.75
130150,202406,4023,2977727.0,740.18
130160,202406,6292,4806346.0,764.0
130165,202406,3410,2641397.0,774.6
130170,202406,9531,7160295.0,751.58
130180,202406,4890,3678352.0,752.22
130185,202406,13708,9884003.0,721.57
130190,202406,16789,12837608.0,764.74
130195,202406,2244,1887484.0,841.12
130200,202406,2126,1550993.0,729.88
130210,202406,1528,1247436.0,816.38
130220,202406,2385,1822287.0,764.06
130230,202406,4831,4259305.0,882.94
130240,202406,13113,9374366.0,714.89
130250,202406,19603,14615705.0,746.23
130255,202406,4106,3012308.0,734.35
130260,202406,264767,186932801.0,706.54
130270,202406,8809,6815626.0,774.5
130280,202406,3602,2999639.0,832.77
130290,202406,13596,10681974.0,785.79
130300,202406,4601,3403591.0,739.75
130310,202406,6133,4646508.0,758.86
130320,202406,2685,2031270.0,757.65
130330,202406,3838,2951598.0,769.05
130340,202406,20391,15379796.0,754.28
130350,202406,3654,2956627.0,809.15
130353,202406,4767,3479169.0,730.3
130356,202406,4024,2957714.0,735.02
130360,202406,2429,1964579.0,809.13
130370,202406,4296,3831930.0,892.18
130380,202406,8686,7512597.0,865.81
130390,202406,7584,6381228.0,842.07
130395,202406,2137,1604992.0,751.05
130400,202406,2348,1807286.0,769.71
130406,202406,10159,8338345.0,821.03
130410,202406,4140,3196779.0,772.17
130420,202406,12053,9738623.0,808.18
130423,202406,3924,3156260.0,804.35
130426,202406,2919,2384986.0,817.34
130430,202406,4041,2870609.0,710.55
130440,202406,4689,3515490.0,749.73
