ibge,anomes,qtd_familias_beneficiarias_bolsa_familia,valor_repassado_bolsa_familia
110001,200601,1845,112493.0
110002,200601,3891,249812.0
110003,200601,98,6364.0
110004,200601,5753,325771.0
110005,200601,1235,67889.0
110006,200601,1132,73908.0
110007,200601,302,19171.0
110008,200601,53,3938.0
110009,200601,1017,60225.0
110010,200601,1852,130169.0
110011,200601,3847,214129.0
110012,200601,2824,153400.0
110013,200601,871,57360.0
110014,200601,1340,92252.0
110015,200601,853,40980.0
110018,200601,1543,90208.0
110020,200601,18578,1183580.0
110025,200601,483,26042.0
110026,200601,255,16012.0
110028,200601,2780,187990.0
110029,200601,809,54430.0
110030,200601,3637,203771.0
110032,200601,1086,72230.0
110033,200601,966,56316.0
110034,200601,2323,168192.0
110037,200601,415,27175.0
110040,200601,792,52419.0
110045,200601,878,53646.0
110050,200601,490,21019.0
110060,200601,464,28443.0
110070,200601,586,37530.0
110080,200601,124,8380.0
110090,200601,301,19564.0
110092,200601,187,9196.0
110094,200601,328,17030.0
110100,200601,683,43867.0
110110,200601,473,30002.0
110120,200601,905,64532.0
110130,200601,258,17215.0
110140,200601,638,43207.0
110143,200601,297,17965.0
110145,200601,53,2403.0
110146,200601,79,3788.0
110147,200601,184,8859.0
110148,200601,372,26530.0
110149,200601,433,23452.0
110150,200601,1180,76290.0
110155,200601,309,17571.0
110160,200601,204,14010.0
110170,200601,649,43223.0
110175,200601,360,26252.0
110180,200601,524,33557.0
120001,200601,740,53788.0
120005,200601,367,25479.0
120010,200601,1304,89490.0
120013,200601,284,19943.0
120017,200601,469,31145.0
120020,200601,4388,314413.0
120025,200601,1014,61301.0
120030,200601,2614,186607.0
120032,200601,286,20239.0
120033,200601,1034,74376.0
120034,200601,634,46884.0
120035,200601,593,50078.0
120038,200601,1224,90641.0
120039,200601,105,8585.0
120040,200601,17350,1070777.0
120042,200601,792,59255.0
120043,200601,164,12356.0
120045,200601,757,45563.0
120050,200601,1814,122416.0
120060,200601,2177,158006.0
120070,200601,963,66851.0
120080,200601,252,18180.0
130002,200601,707,49653.0
130006,200601,158,13139.0
130008,200601,660,51632.0
130010,200601,608,42787.0
130014,200601,787,50952.0
130020,200601,571,42139.0
130030,200601,2754,202604.0
130040,200601,1044,67693.0
130050,200601,1569,113344.0
130060,200601,1797,123898.0
130063,200601,609,44454.0
130068,200601,940,71071.0
130070,200601,1911,140371.0
130080,200601,1449,110066.0
130083,200601,474,31075.0
130090,200601,472,31764.0
130100,200601,2547,179630.0
130110,200601,568,35614.0
130115,200601,814,53090.0
130120,200601,5852,440645.0
130130,200601,293,20435.0
130140,200601,2716,200945.0
130150,200601,861,58876.0
130160,200601,1475,100435.0
130165,200601,477,32601.0
130170,200601,3107,234827.0
130180,200601,845,63413.0
130185,200601,1074,79017.0
130190,200601,6866,514316.0
130195,200601,420,29521.0
130200,200601,564,42014.0
130210,200601,428,32100.0
130220,200601,356,25199.0
130230,200601,1320,91578.0
130240,200601,3635,267785.0
130250,200601,5765,434034.0
130255,200601,205,16555.0
130260,200601,61028,3892286.0
130270,200601,2564,182577.0
130280,200601,1202,90921.0
130290,200601,2324,160472.0
130300,200601,1542,118004.0
130310,200601,2222,163835.0
130320,200601,428,29133.0
130330,200601,680,51856.0
130340,200601,8818,657845.0
130350,200601,454,32365.0
130353,200601,959,65330.0
130356,200601,1686,117460.0
130360,200601,353,21150.0
